Temperature,Pressure,Humidity,Machine_Speed,Production_Time,Shift,Operator_Experience_Years,Material_Type,Defect
79.97,26.61,48.48,1297,8,Day,5,Aluminum,0
73.62,28.47,47.83,1271,2,Evening,6,Aluminum,0
81.48,27.01,35.63,1463,3,Evening,8,Plastic,1
90.23,30.55,50.8,1107,7,Evening,8,Aluminum,1
72.66,35.99,30.1,1258,10,Day,3,Steel,0
72.66,26.14,38.46,1313,10,Night,1,Plastic,1
90.79,35,25.01,1302,11,Night,4,Steel,1
82.67,26.09,60.59,843,8,Day,0,Steel,1
70.31,25.76,42.68,840,9,Night,12,Plastic,0
80.43,34.09,66.67,1062,8,Night,14,Aluminum,1
70.37,34.61,53.03,1093,7,Evening,11,Steel,0
70.34,34.26,49.48,1484,10,Evening,13,Aluminum,1
77.42,23.42,39.14,808,1,Day,11,Steel,0
55.87,27.67,34.54,852,1,Day,14,Plastic,0
57.75,34.11,50.23,1595,11,Evening,12,Plastic,1
69.38,30.21,44.28,927,8,Day,4,Plastic,0
64.87,24.63,31.61,1330,7,Day,14,Aluminum,0
78.14,32.29,29.83,1443,2,Night,11,Steel,1
65.92,26.43,35.41,1324,9,Day,9,Plastic,0
60.88,38.97,63.21,1531,10,Day,12,Steel,1
89.66,37.72,67.13,1578,7,Evening,14,Steel,1
72.74,33.02,47.05,1556,9,Day,2,Plastic,1
75.68,36.81,46.49,1569,11,Evening,13,Steel,1
60.75,30.32,41.64,939,1,Day,6,Steel,0
69.56,33.83,35.66,1558,11,Night,6,Plastic,1
76.11,37.39,58.75,1031,3,Evening,2,Steel,0
63.49,31.23,63.74,1367,10,Day,4,Plastic,1
78.76,28.72,36.07,887,2,Day,8,Aluminum,0
68.99,21.48,44.17,1565,6,Night,3,Steel,1
72.08,29.58,40.5,1363,10,Day,1,Plastic,1
68.98,34.12,40.8,1558,4,Night,2,Aluminum,1
93.52,34.73,56.86,1563,2,Evening,10,Steel,1
74.87,32.52,31.88,1436,2,Evening,0,Plastic,1
64.42,27.29,49.66,1000,6,Day,4,Steel,0
83.23,20.12,52.28,1187,9,Evening,8,Aluminum,0
62.79,27.52,43.58,1160,6,Night,1,Steel,1
77.09,28.48,53.93,931,4,Night,12,Plastic,0
